	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean	GFF_annotation	HHPred_annotation
transcript:Smp_000030.1	2.43966723489919e-07	0.999999756033277	4.40132883642382	4.4254149028728	269.736224800333	60.943883583938	26S proteasome non-ATPase regulatory subunit 2	26S proteasome regulatory subunit RPN1
transcript:Smp_000030.3	0.0429181985394002	0.9570818014606	0.428794112179871	0.428371560941182	249.939669838218	583.478010476347	26S proteasome regulatory subunit RPN1	26S proteasome regulatory subunit RPN1
transcript:Smp_000040.2	0.00122279407920511	0.998777205920795	2.04669103168627	2.05712526907124	89.0611725334902	43.2888568429303	Kinesin light chain	KLC 1, kinesin light chain 1
transcript:Smp_000050.2	0	1	17.0136361496504	17.2863692546998	438.091283712093	25.3337420696647	Transient receptor potential cation channel subfamily M member 2	Transient receptor potential cation channel subfa member 1
transcript:Smp_000080.1	1.35201061457479e-09	0.999999998647989	0.10670386504149	0.10416469092657	15.8076565979876	151.842383540773	BET1-like protein	Syntaxin-1A
transcript:Smp_000100.1	0	1	17.1055413137014	17.1206380370338	7883.71044758889	460.470528268604	Actin-binding/filamin-like protein	Filamin-B
transcript:Smp_000100.2	0	1	433.880682528046	19118.6115217496	191.176115217496	0	Filamin-A	Filamin-B
transcript:Smp_000100.3	0	1	50.1461501811415	50.3887828896111	4405.46423816833	87.4196616336138	Filamin-A	Filamin-B
transcript:Smp_000100.5	0	1	877.396030008578	38705.8891695972	387.048891695972	0	Filamin-A	Filamin-B
transcript:Smp_000100.6	0	1	64.0825100120262	74.2681332411142	198.527480462498	2.66325260240403	Filamin-B	Filamin-B
transcript:Smp_000130.1	0	1	4.34511162074509	4.34862744585514	1785.87789416707	410.668522454086	Hormone-sensitive lipase	Carboxylesterase
transcript:Smp_000160.1	0	1	4.04545103703238	4.05347698972576	663.888027555677	163.774827011092	Amphoterin-induced protein 3	Leucine-rich repeat-containing protein 4C
transcript:Smp_000180.1	0	1	15.9217248149914	17.2055259326304	86.3092920817264	5.00695167120823	Kv channel-interacting protein 1	Calsenilin
transcript:Smp_000260.1	0	1	3.03546775960323	3.03556349648209	27857.540409473	9177.05068140466	Prosaposin	Proactivator polypeptide
transcript:Smp_000270.1	0	1	0.0077659733548339	0.00773510488982218	107.310807028586	13874.5021827369	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
transcript:Smp_000280.1	0	1	0.00982172395279104	0.00981329395216994	497.51995746769	50699.5777115934	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
transcript:Smp_000300.2	0	1	5.3833509178448	5.39517259594813	863.46763584287	160.036341518593	WD repeat-containing protein 19	Coatomer beta'-subunit
transcript:Smp_000310.2	0	1	0.284041036445491	0.283951297190343	977.830830441227	3443.68207014309	Transmembrane protein 41B	Sigma-54, RNA polymerase sigma factor RPON
transcript:Smp_000310.3	0.00806033588238331	0.991939664117617	0.487248094844234	0.485090687295599	49.7541586850153	102.577330551433	Transmembrane protein 41B	Sigma-54, RNA polymerase sigma factor RPON
transcript:Smp_000320.1	0	1	11.7226735957885	11.754337663577	1718.10876905684	146.15891382836	Uncharacterized protein ZK1073.1	Protein NDRG2, protein NDR2
transcript:Smp_000340.1	0	1	0.0883109352789879	0.0879589198265632	98.3194353619915	1117.89180638731	ecdysone-induced protein E78	Liver X nuclear receptor beta
transcript:Smp_000370.1	0	1	0.373665056803328	0.373339886709032	310.38811587659	831.398930379045	Selenoprotein K	RNA 3'-terminal phosphate cyclase
transcript:Smp_000390.1	0	1	0.00567692310993542	0.00566749395138962	257.957079156852	45516.9471188693	50S ribosomal protein L34e	Putative type VI secretion protein
transcript:Smp_000420.1	0	1	0.0155131998868068	0.0155078654400439	1235.34329136549	79659.7791657993	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
transcript:Smp_000430.1	0	1	0.00584077304155055	0.00583969996810933	2335.25234392189	399894.223723443	Putative eggshell protein	Amyloid beta-peptide
transcript:Smp_000500.1	1.74256942209183e-10	0.999999999825743	0.155000337022408	0.147117574258273	6.79708658991201	46.2597038353949	Vacuolating cytotoxin autotransporter	Hypothetical protein AQ_1857
transcript:Smp_000580.1	0	1	5.57480790777487	5.61171528172694	300.233757577899	53.4930275957803	Coiled-coil domain-containing protein 63	Seryl-tRNA synthetase
transcript:Smp_000590.1	0	1	0.471229790019363	0.471099879922191	827.657126346257	1756.87248208206	28S ribosomal protein S26, mitochondrial	Peptidoglycan recognition protein I-alpha
transcript:Smp_000600.1	0	1	0.42620138495766	0.425991191797243	501.939672433621	1178.2999794057	Notchless protein homolog 1	RSA4, ribosome assembly protein 4
transcript:Smp_000600.2	0	1	0.264352063537034	0.263299428980445	79.4156825181993	301.645354232075	Notchless protein homolog 1	RSA4, ribosome assembly protein 4
transcript:Smp_000630.1	3.66433296494773e-06	0.999996335667035	0.424432554912113	0.422207667697763	47.1347110153328	111.652375229721	Isochorismatase domain-containing protein 2	F35G2.2, MAR1 ribonuclease
transcript:Smp_000650.3	4.60923340561692e-06	0.999995390766594	13.5795562819826	14.7614200870706	67.807951937001	4.58427016757028	E3 ubiquitin-protein ligase sina	E3 ubiquitin-protein ligase SIAH1
transcript:Smp_000660.1	0	1	0.315080618526566	0.315064084416727	5633.46247336915	17880.391962662	ornithine aminotransferase	Ornithine aminotransferase
transcript:Smp_000755.1	0	1	2.6026102322557	2.60330679731285	2585.28567398944	993.071444207035	Membrane metallo-endopeptidase-like 1	Neprilysin
transcript:Smp_000790.1	0	1	23.3220682570644	23.8329890883971	449.436472466188	18.8481663340331	Actin-binding LIM protein 1	Flinc4, fusion protein of LMO4 protein and LIM domain- binding protein 1
transcript:Smp_000810.1	0	1	0.328542171553546	0.32834557710301	484.047884153568	1474.22299690651	Putative deoxyribonuclease TATDN1	3'-5'-exonuclease
transcript:Smp_000820.1	0	1	22.2488937808904	22.3247920595737	2697.79441973107	120.833428800232	DNA polymerase alpha catalytic subunit	Hepatitis B virus X-interacting protein
transcript:Smp_000820.2	0	1	43.224976396941	71.4919955066201	46.0862358227265	0.634774782072742	UPF0753 protein Nham_4323	Hepatitis B virus X-interacting protein
transcript:Smp_000830.1	0.000773049467131859	0.999226950532868	6.4410270024608	8.095864437349	11.4796662164706	1.40920190306854	homeobox protein smox-3	Homeobox protein OTX2
transcript:Smp_000850.1	0	1	0.417365433856143	0.417264812992255	1042.88025287817	2499.33866398027	DnaJ homolog subfamily C member 5	DNAJ homolog subfamily C member 5
transcript:Smp_000870.4	1.15734656336297e-06	0.999998842653437	57.0839377213464	2477.87406078022	24.7687406078022	0	FYVE, RhoGEF and PH domain-containing protein 4	FYVE, rhogef and PH domain-containing protein 5
transcript:Smp_000900.1	0	1	9.67741737201675	9.85380673675312	209.228101743768	21.2242404649914	Cholecystokinin receptor	P2Y purinoceptor 12, soluble cytochrome B562
transcript:Smp_000910.1	0	1	2.77729748018869	2.79167322661578	148.964845383661	53.3539983230617	Axonemal 84 kDa protein	Geminin
transcript:Smp_000950.1	0	1	0.0951111820307169	0.0945741248958607	68.7705592459936	727.256145171638	Putative nucleotidyltransferase MAB21L1	Cyclic GMP-AMP synthase
transcript:Smp_001000.1	0	1	4.66509905503627	4.67946850698293	515.172000776855	110.084127144584	Universal stress protein MSMEG_3950/MSMEI_3859	Protein (ATP-binding domain of protein MJ0577)
transcript:Smp_001040.1	0	1	2.82975542718408	2.82998777955078	9619.41568919309	3399.09502748533	Kinesin heavy chain	Kinesin, kinesin heavy chain
transcript:Smp_001070.1	0	1	15.2060040024173	16.3514444922202	87.5234743522014	5.34325636789145	2-oxoglutarate receptor 1	P2Y purinoceptor 12, soluble cytochrome B562
transcript:Smp_001080.1	0	1	2.54381613531953	2.5471055600145	515.979912565512	202.56892749548	RIIa domain-containing protein 1	CAMP-dependent protein kinase type I-beta regulat subunit
transcript:Smp_001100.1	0	1	19.4005132237247	19.4251010474859	6274.67273918639	323.009310110538	Fibrillin-3	Fibrillin-1
transcript:Smp_001120.1	0	1	0.463553974879139	0.463146721027123	263.318621072623	568.554148502741	39S ribosomal protein L50, mitochondrial	VAV proto-oncogene
transcript:Smp_001160.1	0	1	2.64254823114578	2.65148681347317	210.2988740869	79.3073373588902	Sperm-associated antigen 16 protein	Platelet-activating factor acetylhydrolase IB alpha subunit
transcript:Smp_001210.1	0	1	0.253967823821494	0.253321499368047	126.201131868548	498.215109923171	Myosin IC heavy chain	Unconventional myosin-IB
transcript:Smp_001210.2	1.17342247030194e-10	0.999999999882658	0.463508391119931	0.462890363291566	173.430965604271	374.681243021241	Myosin-1	Unconventional myosin-IB
transcript:Smp_001390.1	0	1	2.60807541016097	2.6103733648313	788.461905412471	302.043306256988	Nck-associated protein 1	NCK-associated protein 1
transcript:Smp_001410.1	0	1	0.220802142334386	0.220741637894202	1227.04323250134	5558.76560847601	Glyoxalase domain-containing protein 4	Glyoxalase domain-containing protein 4
transcript:Smp_001420.1	0	1	2.27672526160072	2.27864523979715	654.018254559545	287.01504590744	Growth hormone-regulated TBC protein 1	Rabgap/TBC protein
transcript:Smp_001500.1	0	1	0.414350317880506	0.414292080372454	1798.28277801471	4340.63000547155	Eukaryotic translation initiation factor 4E	Eukaryotic translation initiation 4E
transcript:Smp_001530.1	0	1	2.96076864829903	2.9630067645076	1120.44651209605	378.138482655338	Exocyst complex component 8	Exocyst complex component EXO84
